Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
2866.708, 2910, 0.423768, 51.56, 50.00, 0.936371
2876.077, 2920, 0.439432, 50.00, 50.00, 0.939898
2885.443, 2930, 0.384251, 59.38, 51.56, 0.902406
2894.907, 2940, 0.402366, 50.00, 50.00, 0.815664
2904.294, 2950, 0.421669, 56.25, 50.00, 1.068349
2913.664, 2960, 0.389036, 56.25, 50.00, 0.955230
2923.113, 2970, 0.387917, 59.38, 50.00, 1.000265
2932.568, 2980, 0.372661, 64.06, 50.00, 0.967788
2941.985, 2990, 0.411839, 62.50, 50.00, 0.928668
2951.385, 3000, 0.364812, 67.19, 50.00, 1.106228
2961.363, 3010, 0.367139, 62.50, 50.00, 1.107275
2970.728, 3020, 0.422391, 46.88, 50.00, 0.944878
2980.084, 3030, 0.395200, 59.38, 50.00, 0.816823
2989.554, 3040, 0.403575, 53.12, 50.00, 0.922984
2998.970, 3050, 0.432671, 46.88, 50.00, 0.989698
3008.397, 3060, 0.398656, 53.12, 50.00, 0.924108
3017.908, 3070, 0.356148, 67.19, 50.00, 0.951031
3027.264, 3080, 0.367033, 65.62, 50.00, 0.858996
3036.685, 3090, 0.379721, 56.25, 50.00, 0.981871
3046.196, 3100, 0.414982, 50.00, 50.00, 0.734406
3055.606, 3110, 0.405937, 59.38, 50.00, 1.035801
3064.996, 3120, 0.433279, 46.88, 50.00, 0.853339
3074.512, 3130, 0.387824, 62.50, 50.00, 1.011947
3083.843, 3140, 0.434891, 45.31, 50.00, 0.835576
3093.279, 3150, 0.446590, 50.00, 50.00, 0.915312
3102.687, 3160, 0.392364, 62.50, 50.00, 0.905080
3112.122, 3170, 0.392702, 64.06, 50.00, 1.012236
3121.533, 3180, 0.390530, 54.69, 50.00, 0.871148
3130.953, 3190, 0.401744, 54.69, 50.00, 1.014631
3140.415, 3200, 0.362951, 62.50, 50.00, 0.986502
3150.295, 3210, 0.419828, 56.25, 50.00, 0.949320
3159.688, 3220, 0.398262, 57.81, 50.00, 0.984082
3169.148, 3230, 0.376852, 65.62, 50.00, 0.853123
3178.611, 3240, 0.410830, 51.56, 50.00, 0.935749
3188.110, 3250, 0.431278, 53.12, 50.00, 0.959814
3197.589, 3260, 0.411079, 50.00, 50.00, 0.884610
3206.995, 3270, 0.404795, 51.56, 50.00, 0.928114
3216.419, 3280, 0.379000, 56.25, 50.00, 0.994440
3225.879, 3290, 0.413209, 50.00, 50.00, 1.020148
3235.310, 3300, 0.366135, 65.62, 50.00, 1.011539
3244.671, 3310, 0.455980, 42.19, 50.00, 0.831747
3254.188, 3320, 0.386234, 62.50, 50.00, 1.018630
3263.587, 3330, 0.399902, 53.12, 50.00, 0.894494
3273.019, 3340, 0.351845, 62.50, 50.00, 1.015285
3282.464, 3350, 0.416511, 51.56, 50.00, 0.911880
3291.915, 3360, 0.376190, 59.38, 50.00, 0.837964
3301.325, 3370, 0.403539, 51.56, 50.00, 1.035553
3310.763, 3380, 0.403397, 45.31, 50.00, 1.023135
3320.235, 3390, 0.374652, 65.62, 50.00, 1.096450
3329.651, 3400, 0.389217, 64.06, 50.00, 0.945884
3339.646, 3410, 0.414385, 50.00, 50.00, 1.029908
3349.129, 3420, 0.370166, 65.62, 50.00, 1.058538
3358.543, 3430, 0.397400, 54.69, 50.00, 0.938971
3367.888, 3440, 0.407878, 51.56, 50.00, 0.972249
3377.371, 3450, 0.373758, 62.50, 50.00, 0.931696
3386.746, 3460, 0.380261, 64.06, 50.00, 0.828682
3396.111, 3470, 0.424536, 56.25, 50.00, 0.694173
3405.600, 3480, 0.335448, 73.44, 50.00, 0.940493
3414.954, 3490, 0.432031, 53.12, 50.00, 0.903100
3424.343, 3500, 0.398422, 48.44, 50.00, 0.869732
3433.847, 3510, 0.414216, 51.56, 50.00, 0.935743
3443.223, 3520, 0.373059, 57.81, 50.00, 0.851236
3452.592, 3530, 0.374415, 60.94, 50.00, 1.058148
3461.963, 3540, 0.328248, 68.75, 50.00, 0.982969
3471.447, 3550, 0.401929, 51.56, 50.00, 0.809539
3480.876, 3560, 0.393859, 53.12, 50.00, 0.895586
3490.307, 3570, 0.369371, 68.75, 50.00, 0.862139
3499.802, 3580, 0.400581, 59.38, 50.00, 0.968854
3509.135, 3590, 0.460764, 39.06, 50.00, 0.901296
3518.490, 3600, 0.388514, 59.38, 50.00, 1.090120
3528.614, 3610, 0.380487, 64.06, 50.00, 0.929756
3537.995, 3620, 0.371090, 62.50, 50.00, 1.042598
3547.355, 3630, 0.390953, 62.50, 50.00, 0.930623
3556.897, 3640, 0.416073, 50.00, 50.00, 0.903940
3566.252, 3650, 0.411463, 57.81, 50.00, 0.962654
3575.602, 3660, 0.376294, 60.94, 50.00, 0.898627
3585.115, 3670, 0.400475, 57.81, 50.00, 0.982746
3594.486, 3680, 0.420651, 59.38, 50.00, 0.966631
3603.889, 3690, 0.397282, 57.81, 50.00, 0.887372
3613.570, 3700, 0.394895, 60.94, 50.00, 0.967566
3622.968, 3710, 0.405633, 53.12, 50.00, 0.925136
3632.381, 3720, 0.390848, 53.12, 50.00, 0.949269
3641.752, 3730, 0.372520, 62.50, 50.00, 0.924201
3651.228, 3740, 0.380673, 59.38, 50.00, 0.977638
3660.634, 3750, 0.379846, 67.19, 50.00, 1.001911
3669.984, 3760, 0.446073, 54.69, 50.00, 0.960069
3679.412, 3770, 0.402165, 59.38, 50.00, 0.919759
3688.747, 3780, 0.361529, 64.06, 50.00, 0.913091
3698.112, 3790, 0.335500, 71.88, 50.00, 1.002129
3707.597, 3800, 0.409529, 57.81, 50.00, 0.969184
3717.501, 3810, 0.447474, 50.00, 50.00, 0.791206
3726.873, 3820, 0.353595, 76.56, 50.00, 1.001902
3736.361, 3830, 0.384705, 67.19, 53.12, 1.043459
3745.743, 3840, 0.401396, 48.44, 50.00, 0.980503
3755.114, 3850, 0.340680, 76.56, 50.00, 0.981067
3764.582, 3860, 0.415347, 51.56, 50.00, 1.024994
3773.987, 3870, 0.395549, 56.25, 50.00, 1.058418
3783.375, 3880, 0.372906, 60.94, 50.00, 0.888416
3792.816, 3890, 0.392787, 56.25, 50.00, 0.912953
3802.220, 3900, 0.369322, 60.94, 50.00, 0.909703
3811.642, 3910, 0.437748, 45.31, 50.00, 0.955238
3820.991, 3920, 0.425304, 50.00, 50.00, 0.935365
3830.472, 3930, 0.379335, 64.06, 50.00, 1.044931
3839.859, 3940, 0.398742, 53.12, 50.00, 0.981638
3849.223, 3950, 0.361757, 62.50, 50.00, 0.978666
3858.751, 3960, 0.380011, 53.12, 50.00, 1.021516
3868.103, 3970, 0.394184, 64.06, 50.00, 0.889932
3877.482, 3980, 0.396022, 56.25, 50.00, 0.963088
3886.986, 3990, 0.427371, 59.38, 50.00, 0.911583
3896.368, 4000, 0.412980, 56.25, 50.00, 0.861033
3906.335, 4010, 0.411023, 56.25, 50.00, 0.962717
3915.829, 4020, 0.358052, 60.94, 50.00, 0.970048
3925.184, 4030, 0.386770, 56.25, 50.00, 1.014818
3934.537, 4040, 0.380579, 59.38, 50.00, 0.826664
3943.999, 4050, 0.366277, 60.94, 50.00, 1.057508
3953.369, 4060, 0.364334, 60.94, 50.00, 1.024653
3962.702, 4070, 0.348813, 68.75, 50.00, 0.987327
3972.020, 4080, 0.366925, 59.38, 50.00, 1.120093
3981.446, 4090, 0.374256, 56.25, 50.00, 0.898513
3990.833, 4100, 0.400336, 62.50, 50.00, 0.943741
4000.198, 4110, 0.447814, 48.44, 50.00, 0.905144
4009.662, 4120, 0.372589, 60.94, 50.00, 0.987217
4019.063, 4130, 0.344142, 62.50, 50.00, 1.007386
4028.426, 4140, 0.406662, 42.19, 51.56, 0.878960
4037.970, 4150, 0.370847, 67.19, 50.00, 1.063657
4047.420, 4160, 0.363691, 65.62, 51.56, 0.888673
4056.809, 4170, 0.365287, 64.06, 50.00, 1.134271
4066.342, 4180, 0.414951, 59.38, 50.00, 1.018401
4075.755, 4190, 0.343368, 67.19, 50.00, 1.187476
4085.175, 4200, 0.362375, 60.94, 50.00, 1.041813
4095.174, 4210, 0.394601, 57.81, 50.00, 1.049505
4104.534, 4220, 0.382020, 62.50, 50.00, 0.966549
